name;pop;tile
Houston;2302;538
San Antonio;1472;553
Dallas;1299;296
Austin;974;494
Fort Worth;956;295
El Paso;677;362
Arlington;394;315
Corpus Christi;316;695
Plano;289;277
Lubbock;263;228
Laredo;256;712
Irving;254;275
Garland;240;317
Frisco;219;256
McKinney;207;236
Grand Prairie;201;316
Amarrillo;201;88
Brownsville;189;835
Killeen;159;434
Denton;150;235
Mesquite City;147;297
Pasadena;147;578
McAllen;144;814
Waco;143;395
Midland;134;348
Carrollton;133;276
Lewisville;131;255
Abilene;127;311
Pearland;126;558
Round Rock;126;474
College Station;124;456
Richardson;118;257
The Woodlands;115;518
League City;115;559
Odessa;112;368
Beaumont;111;519
Allen;111;237
Sugar Land;109;557
Tyler;109;338
New Braunfels;104;534
Edinburg;104;794
Wichita Falls;102;193
Conroe;101;498
